datum;nkp;rlm;slp
2016-05-03 00:00:00,000;2877347,1055012;2239734,90326954;637612,20223166
2016-05-04 00:00:00,000;3066059,7328283;2272033,79085879;794025,94196951
2016-05-05 00:00:00,000;2974220,0247394;2383997,82258762;590222,20215178
2016-05-06 00:00:00,000;2673871,8412839;2260685,09417906;413186,74710484
2016-05-07 00:00:00,000;2202525,2280964;1866382,41760767;336142,81048873
2016-05-08 00:00:00,000;2219843,3100669;1881803,87777066;338039,43229624
2016-05-09 00:00:00,000;2383181,2138161;2079785,90348112;303395,31033498
2016-05-10 00:00:00,000;2403886,7779576;2114989,40426774;288897,37368986
2016-05-11 00:00:00,000;2312975,5718994;2033162,67004245;279812,90185695
2016-05-12 00:00:00,000;2194922,7384796;1920138,7512595;274783,9872201
2016-05-13 00:00:00,000;2580783,8240293;2279471,835242025;301311,988787275
2016-05-14 00:00:00,000;2480548,3697128;2034945,28749267;445603,08222013
2016-05-15 00:00:00,000;1469034,6367725;886801,05304251;582233,58372999
2016-05-16 00:00:00,000;2175071,5467726;1540114,85569414;634956,69107846
2016-05-17 00:00:00,000;3175869,6123905;2427420,80151055;748448,81087995
2016-05-18 00:00:00,000;2638390,3285402;2120820,31571116;517570,01282904
2016-05-19 00:00:00,000;2178045,7441337;1802036,91286317;376008,83127053
2016-05-20 00:00:00,000;2392086,2049829;2060243,6745859;331842,530397
2016-05-21 00:00:00,000;2266677,4229475;1973533,15137963;293144,27156787
2016-05-22 00:00:00,000;2220067,4606336;1949890,75520052;270176,70543308
2016-05-23 00:00:00,000;2351953,4429018;2087657,72366012;264295,71924168
2016-05-24 00:00:00,000;2498473,1655624;2174972,03824007;323501,12732233
2016-05-25 00:00:00,000;2367484,8412787;1966711,1181057;400773,723173
2016-05-26 00:00:00,000;1384759,5361362;989575,92430608;395183,61183012
2016-05-27 00:00:00,000;2360050,7043439;2028473,65692964;331577,04741426
2016-05-28 00:00:00,000;2114295,0289425;1833422,18381643;280872,84512607
2016-05-29 00:00:00,000;2025588,8495135;1760540,04861021;265048,80090329
2016-05-30 00:00:00,000;2470077,8593783;2228648,17242486;241429,68695344
2016-05-31 00:00:00,000;2247008,3779592;2008192,10600593;238816,27195327
2016-06-01 00:00:00,000;1332649,183705;1080072,3613757;252576,8223293
2016-06-02 00:00:00,000;1905287,007802;1663093,9959936;242193,0118084
2016-06-03 00:00:00,000;2133931,788617;1908121,557619;225810,230998
2016-06-04 00:00:00,000;2037296,076813;1822574,8846053;214721,1922077
2016-06-05 00:00:00,000;2078325,817727;1853282,5737822;225043,2439448
2016-06-06 00:00:00,000;2152361,689614;1927988,9624949;224372,7271191
2016-06-07 00:00:00,000;1230947,460358;1006568,8206659;224378,6396921
2016-06-08 00:00:00,000;983060,43595;761417,9096939;221642,5262561
2016-06-09 00:00:00,000;2046925,741188;1810804,7795004;236120,9616876
2016-06-10 00:00:00,000;2429010,695776;2181720,0867303;247290,6090457
2016-06-11 00:00:00,000;1941576,546251;1710910,3444506;230666,2018004
2016-06-12 00:00:00,000;1851369,355931;1593698,2760593;257671,0798717
2016-06-13 00:00:00,000;2275908,166388;2019339,0764332;256569,0899548
2016-06-14 00:00:00,000;2160156,189327;1902760,2317396;257395,9575874
2016-06-15 00:00:00,000;1224583,467998;955987,3205542;268596,1474438
2016-06-16 00:00:00,000;1938835,729401;1691585,0902294;247250,6391716
2016-06-17 00:00:00,000;2428396,116723;2142458,2674641;285937,8492589
2016-06-18 00:00:00,000;1983778,130457;1724040,602709;259737,527748
2016-06-19 00:00:00,000;2020274,055751;1744590,8850413;275683,1707097
2016-06-20 00:00:00,000;2212820,776517;1956473,653833;256347,122684
2016-06-21 00:00:00,000;1802989,936788;1564446,3192566;238543,6175314
2016-06-22 00:00:00,000;1250199,860435;1022555,9237817;227643,9366533
2016-06-23 00:00:00,000;1934792,322027;1732754,7118725;202037,6101545
2016-06-24 00:00:00,000;2225729,84945;2034942,6647972;190787,1846528
2016-06-25 00:00:00,000;2047554,49032;1856074,6414743;191479,8488457
2016-06-26 00:00:00,000;1772600,605402;1559714,0683386;212886,5370634
2016-06-27 00:00:00,000;2117348,295993;1905887,6677527;211460,6282403
2016-06-28 00:00:00,000;2272792,547505;2057617,9193175;215174,6281875
2016-06-29 00:00:00,000;1305084,802249;1086236,357821;218848,444428
2016-06-30 00:00:00,000;1878803,460948;1659059,7166975;219743,7442505
2016-07-01 00:00:00,000;2054488,8334524;1849658,83185489;204830,00159751
2016-07-02 00:00:00,000;1649612,4551583;1422724,95413724;226887,50102106
2016-07-03 00:00:00,000;1841837,7780327;1590997,72325739;250840,05477531
2016-07-04 00:00:00,000;2163957,7258188;1933996,05038787;229961,67543093
2016-07-05 00:00:00,000;2243020,969008;2018613,71090142;224407,25810658
